,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Noname,"Other_95; Other_90;
",[Zn+2].S1(=O)(=O)[N-]C(=O)c2c1cccc2.S1(=O)(=O)[N-]C(=O)c2c1cccc2.O,,,,,,,,,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>0</sub>N<sub>2</sub>O<sub>7</sub>S<sub>2</sub>Zn,447.748,26,26,4,26,0,1,7
0,2-O-METHYL FUCOSE,"Carbohydrates_90; Carbohydrates_95;
",O1C(C(O)C(O)C(OC)C1O)C,,,,,,,,,C<sub>7</sub>H<sub>1</sub><sub>4</sub>O<sub>5</sub>,178.183,12,12,1,12,1,3,5
0,MolPort-003-847-517,"Other_90; Carbohydrates_90; Carbohydrates_95;
",O(C1C(O)C(O)C(OC1O)CO)C1OC(C(O)C(O)C1O)C,,,,,,,,,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>2</sub>O<sub>1</sub><sub>0</sub>,326.297,22,22,2,23,3,7,10
0,Cartose,"Carbohydrates_90; Carbohydrates_95;
",O1C(C(O)C(O)C(O)C1O)CO.O,,,,,,,,,C<sub>6</sub>H<sub>1</sub><sub>4</sub>O<sub>7</sub>,198.171,13,13,1,12,1,6,7
0,MolPort-003-847-266,"Carbohydrates_90;
",O1C2OC(OC2C(O)C(O)C1CO)C,,,,,,,,,C<sub>8</sub>H<sub>1</sub><sub>4</sub>O<sub>6</sub>,206.193,14,14,2,15,1,3,6
0,CID5195976,"Carbohydrates_90;
",O(C1C(O)C(O)C(OC1CO)OCC1OC(O)C(O)C(O)C1O)C1OC(C(O)C(O)C1O)CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>2</sub>O<sub>1</sub><sub>6</sub>,504.437,34,34,3,36,7,11,16
0,"Hexane-1,2,3,6-tetrol","Carbohydrates_90; Carbohydrates_95;
",OC(CCCO)C(O)CO,,,,,,,,,C<sub>6</sub>H<sub>1</sub><sub>4</sub>O<sub>4</sub>,150.173,10,10,0,9,5,4,4
0,CID521912,"Other_95; Other_90; Carbohydrates_90; Carbohydrates_95;
",O1C(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C(O)C1CO.O,,,,,,,,,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>4</sub>O<sub>1</sub><sub>2</sub>,360.312,24,24,2,24,4,9,12
0,Lactose monohydrate,"Other_95; Other_90; Carbohydrates_90; Carbohydrates_95;
",O(C1C(O)C(O)C(OC1CO)O)C1OC(C(O)C(O)C1O)CO.O,,,,,,,,,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>4</sub>O<sub>1</sub><sub>2</sub>,360.312,24,24,2,24,4,9,12
0,CID5229059,"Carbohydrates_90;
",O(C1C(O)C(O)C(OC1CO)OC1OC(C(O)C(O)C1O)CO)C1OC(C(O)C(O)C1O)CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>2</sub>O<sub>1</sub><sub>6</sub>,504.437,34,34,3,36,7,11,16
0,"3,6-Anhydrogalactopyranose","Carbohydrates_90;
",O1C(C(O)C(O)C1)C(O)C=O,,,,,,,,,C<sub>6</sub>H<sub>1</sub><sub>0</sub>O<sub>5</sub>,162.141,11,11,1,11,2,3,5
0,CID5230271,"Other_95; Other_90; Carbohydrates_90; Carbohydrates_95;
",O(C1C(O)C(OC(O)C1O)CO)C1OCC(O)C(O)C1O,,,,,,,,,C<sub>1</sub><sub>1</sub>H<sub>2</sub><sub>0</sub>O<sub>1</sub><sub>0</sub>,312.271,21,21,2,22,3,7,10
0,CID5242923,"Other_90;
",O=C(NC(Cc1ccccc1)C(=O)O)C([NH3+])C,,,,,,,,,C<sub>1</sub><sub>2</sub>H<sub>1</sub><sub>7</sub>N<sub>2</sub>O<sub>3</sub>,237.275,17,17,1,17,6,3,4
0,CID5248464,"Carbohydrates_90;
",O1C2OCCOC2C(O)C(O)C1CO,,,,,,,,,C<sub>8</sub>H<sub>1</sub><sub>4</sub>O<sub>6</sub>,206.193,14,14,2,15,1,3,6
0,CID5255639,"Other_95; Other_90;
",[Fe+2].S1(=O)(=O)[N-]C(=O)c2c1cccc2.S1(=O)(=O)[N-]C(=O)c2c1cccc2.[OH3+].[OH3+].[OH3+].[OH3+],,,,,,,,,C<sub>1</sub><sub>4</sub>H<sub>2</sub><sub>0</sub>FeN<sub>2</sub>O<sub>1</sub><sub>0</sub>S<sub>2</sub>,496.291,29,29,4,26,0,4,6
0,CID5255640,"Other_95; Other_90;
",[Co+2].S1(=O)(=O)[N-]C(=O)c2c1cccc2.S1(=O)(=O)[N-]C(=O)c2c1cccc2.[OH3+].[OH3+].[OH3+].[OH3+],,,,,,,,,C<sub>1</sub><sub>4</sub>H<sub>2</sub><sub>0</sub>CoN<sub>2</sub>O<sub>1</sub><sub>0</sub>S<sub>2</sub>,499.379,29,29,4,26,0,4,6
0,CID5255641,"Other_95; Other_90;
",[Ni+2].S1(=O)(=O)[N-]C(=O)c2c1cccc2.S1(=O)(=O)[N-]C(=O)c2c1cccc2.[OH3+].[OH3+].[OH3+].[OH3+],,,,,,,,,C<sub>1</sub><sub>4</sub>H<sub>2</sub><sub>0</sub>N<sub>2</sub>NiO<sub>1</sub><sub>0</sub>S<sub>2</sub>,499.139,29,29,4,26,0,4,6
0,CID5255642,"Other_95; Other_90;
",[Zn+2].S1(=O)(=O)[N-]C(=O)c2c1cccc2.S1(=O)(=O)[N-]C(=O)c2c1cccc2.[OH3+].[OH3+].[OH3+].[OH3+],,,,,,,,,C<sub>1</sub><sub>4</sub>H<sub>2</sub><sub>0</sub>N<sub>2</sub>O<sub>1</sub><sub>0</sub>S<sub>2</sub>Zn,505.826,29,29,4,26,0,4,6
0,CID5255643,"Other_95; Other_90;
",[Cd+2].S1(=O)(=O)[N-]C(=O)c2c1cccc2.S1(=O)(=O)[N-]C(=O)c2c1cccc2.[OH3+].[OH3+].[OH3+].[OH3+],,,,,,,,,C<sub>1</sub><sub>4</sub>H<sub>2</sub><sub>0</sub>CdN<sub>2</sub>O<sub>1</sub><sub>0</sub>S<sub>2</sub>,552.857,29,29,4,26,0,4,6
0,CID5258034,"Other_95; Other_90; Carbohydrates_90; Carbohydrates_95;
",O(C1C(O)C(O)C(OC1O)O)C1OC(C(O)C(O)C1O)CO,,,,,,,,,C<sub>1</sub><sub>1</sub>H<sub>2</sub><sub>0</sub>O<sub>1</sub><sub>1</sub>,328.27,22,22,2,23,3,8,11
0,CID5260410,"Other_95; Other_90;
",[Sn](N1S(=O)(=O)c2c(C1=O)cccc2)(C)(C)C.O,,,,,,,,,C<sub>1</sub><sub>0</sub>H<sub>1</sub><sub>5</sub>NO<sub>4</sub>SSn,363.996,17,17,2,17,1,1,5
0,Ac-Phe-Val-Ile-Asn-Asp-Leu,"Other_90;
",O=C(N[C@@H]([C@H](CC)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)O)CC(=O)O)[C@@H](NC(=O)[C@@H](NC(=O)C)Cc1ccccc1)C(C)C,,,,,,,,,C<sub>3</sub><sub>6</sub>H<sub>5</sub><sub>5</sub>N<sub>7</sub>O<sub>1</sub><sub>1</sub>,761.862,54,54,1,54,29,9,18
0,AIDS257785,"Other_90;
",O=C(N[C@@H](CCO)C(=O)N)[C@@H](NC(=O)CCCCCCCCCCCCCCC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(CC)C,,,,,,,,,C<sub>3</sub><sub>9</sub>H<sub>6</sub><sub>4</sub>N<sub>6</sub>O<sub>9</sub>,760.96,54,54,1,54,35,8,15
0,AIDS292582,"Other_90;
",O=C1N(C(C1)C(=O)NC(Cc1ccccc1)C(=O)OC)C(Cc1ccccc1)C(=O)NCC(=O)OC,,,,,,,,,C<sub>2</sub><sub>6</sub>H<sub>2</sub><sub>9</sub>N<sub>3</sub>O<sub>7</sub>,495.524,36,36,3,38,15,2,10
0,AIDS292608,"Other_90;
",O=C1N(C(C1)C(=O)NC(Cc1ccccc1)C(=O)OC)C(CCC)C(=O)NCC(=O)OC,,,,,,,,,C<sub>2</sub><sub>2</sub>H<sub>2</sub><sub>9</sub>N<sub>3</sub>O<sub>7</sub>,447.482,32,32,2,33,15,2,10
0,Cellotriose,"Carbohydrates_90;
",O1[C@@H]([C@H](O[C@H]2O[C@@H]([C@H](O)[C@H](O)[C@H]2O)CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]1CO)O)CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>2</sub>O<sub>1</sub><sub>6</sub>,504.437,34,34,3,36,7,11,16
0,CID5282231,"Other_95; Other_90; Carbohydrates_90; Carbohydrates_95;
",O([C@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO,,,,,,,,,C<sub>1</sub><sub>1</sub>H<sub>2</sub><sub>2</sub>O<sub>1</sub><sub>1</sub>,330.286,22,22,1,22,7,9,11
0,,,,,,,,,,,,,,,,,,,,
0,Cyclohexylamine sulfate,"Other_90;
",S(=O)(=O)(O)[O-].[NH3+]C1CCCCC1,,,,,,,,,C<sub>6</sub>H<sub>1</sub><sub>5</sub>NO<sub>4</sub>S,197.253,12,12,1,11,0,2,4
0,2-DEOXY-BETA-D-GALACTOSE,"Carbohydrates_90; Carbohydrates_95;
",O1[C@@H]([C@H](O)[C@H](O)CC1[O-])CO,,,,,,,,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>O<sub>5</sub>,163.149,11,11,1,11,1,3,5
